0, 0, 10242, 20480, -1, -1, -1, -1
1, 0.924406, 4238, 8472, -1, -1, -1, -1
2, 0.075454, 5637, 30517, -1, -1, -1, -1
3, 1.11628, 10991, 58639, 590952, 146.143, 0, -1
7, 1.1613, 5066, 27471, 254.396, 9.22321, -1, -1
6, 0.018994, 5988, 32720, 254.396, 8.46313, -1, -1
7, 0.312393, 5082, 27503, 254.396, 9.20762, -1, -1
8, 0.186258, 5082, 25429, 53.4475, 7.90856, -1, -1
9, 0.129183, 5082, 25429, 45.8354, 6.96371, -1, -1
6, 0.020664, 6514, 32764, 45.8354, 6.31354, -1, -1
7, 0.512456, 5180, 26380, 45.8354, 6.52683, -1, -1
8, 0.167207, 5180, 25987, 28.6978, 6.18757, -1, -1
9, 0.110432, 5180, 25987, 26.2668, 5.91319, -1, -1
6, 0.016295, 5803, 29131, 26.2668, 5.71748, -1, -1
7, 0.368732, 5134, 25871, 25.3623, 5.83517, -1, -1
8, 0.12734, 5134, 25707, 25.185, 5.70878, -1, -1
9, 0.103496, 5134, 25707, 24.5391, 5.57468, -1, -1
6, 0.015916, 5524, 27655, 24.5391, 5.46966, -1, -1
7, 0.31254, 5083, 25493, 24.5391, 5.55229, -1, -1
8, 0.107478, 5083, 25420, 24.5391, 5.48516, -1, -1
9, 0.093656, 5083, 25420, 22.9357, 5.4079, -1, -1
6, 0.015609, 5367, 26812, 22.9357, 5.33963, -1, -1
7, 0.283945, 5059, 25322, 22.9357, 5.39468, -1, -1
8, 0.114291, 5059, 25299, 22.9357, 5.36531, -1, -1
9, 0.091976, 5059, 25299, 22.9357, 5.31889, -1, -1
6, 0.039828, 9569, 49533, 22.9357, 4.87476, -1, -1
7, 0.546712, 6795, 35715, 22.9357, 4.84195, -1, -1
8, 0.360297, 6795, 35685, 22.4157, 4.57804, -1, -1
9, 0.132193, 6795, 35685, 22.4157, 4.36433, -1, -1
6, 0.022889, 7944, 41242, 22.4157, 4.33883, -1, -1
7, 0.409939, 6714, 35377, 22.4157, 4.35812, -1, -1
8, 0.222855, 6714, 35357, 22.4157, 4.27673, -1, -1
9, 0.12057, 6714, 35357, 20.8894, 4.17741, -1, -1
6, 0.031612, 7512, 39052, 20.8894, 4.17305, -1, -1
7, 0.305806, 6671, 35206, 20.8894, 4.17034, -1, -1
8, 0.165709, 6671, 35208, 20.8894, 4.14176, -1, -1
9, 0.116074, 6671, 35208, 20.8894, 4.09002, -1, -1
6, 0.038758, 9844, 52334, 22.8812, 4.2157, -1, -1
7, 0.506899, 7724, 41676, 17.2553, 4.05908, -1, -1
8, 0.30725, 7724, 41619, 17.2553, 3.99082, -1, -1
9, 0.130476, 7724, 41619, 16.0789, 3.88571, -1, -1
6, 0.025418, 8534, 45615, 16.2619, 3.92943, -1, -1
7, 0.32801, 7669, 41397, 16.0789, 3.88892, -1, -1
8, 0.18949, 7669, 41392, 16.0789, 3.87549, -1, -1
9, 0.126078, 7669, 41392, 16.0789, 3.83351, -1, -1
6, 0.02473, 8307, 44717, 16.2619, 3.8919, -1, -1
7, 0.377288, 7764, 41944, 8.64745, 3.84038, -1, -1
8, 0.19795, 7764, 41928, 7.92264, 3.83137, -1, -1
9, 0.131537, 7764, 41928, 8.0548, 3.80197, -1, -1
7, 0.422605, 7708, 41624, 8.0548, 3.80231, -1, -1
4, 9.63116, 7708, 41624, 8.0548, 3.80231, -1, -1
5, 0.110383, 4350, 16089, 8.0548, 3.86801, -1, -1
-1, 11.8577, 4350, 16089, 8.0548, 3.86801, 0, 41
